1697,68
1789,14
1809,43
1517,82
1498,38
1292,93
1302,48
1148,80
1525,76
1461,37
1373,59
1183,63
988,09
725,31
772,02
891,02
810,38
855,15
1047,08
1139,91
1235,31
1245,46
1345,12
1255,01
1034,87
946,17
1011,84
1070,97
1225,62
1389,07
1512,12
1570,71
1581,15
1716,59
1876,38
1985,55
2130,17
2275,55
2295,39
2318,37
2333,15
2330,69
2322,01
2307,36
2302,39
2298,35
2252,10
2242,63
2245,77
2188,56
2094,83
2113,34
2072,15
2057,07
2051,16
2150,09
2173,18
2158,53
2173,07
2203,33
2206,48
2280,06
2270,56
2255,19
2264,66
2201,51
2142,36
2077,38
2066,85
2057,06
2045,51
2046,80
2014,68
1974,58
1982,48
2009,67
2084,82
2296,20
2316,18
2247,10
2224,86
2051,68
1855,31
1608,18
1436,90
1280,60
1184,21
1092,31
1077,22
974,47
842,21
782,07
758,83
757,02
797,35
786,29
929,88
989,54
920,84
1063,23
1101,74
1190,17
1258,67
1329,11
1368,84
1439,44
1581,72
1628,08
1680,39
1778,19
1866,99
1922,79
1960,61
2046,04
2113,62
2105,28
2005,45
2039,90
2039,73
2082,39
2044,89
2025,85
1975,50
1952,30
1934,81
1893,67
1916,93
1897,24
1903,62
1849,83
1759,76
1746,33
1721,66
1666,80
1670,27
1577,68
1619,46
1585,16
1589,30
1507,27
1478,97
1408,73
1361,14
1239,74
1119,06
1064,73
1016,41
895,75
760,43
676,13
714,72
705,22
718,46
786,76
783,74
709,39
763,40
1081,38
1219,41
1340,34
1387,20
1561,35
1708,58
1658,90
1671,15
1636,26
1537,57
1668,57
1810,39
1681,51
1533,67
1466,96
1435,99
1357,01
1374,44
1398,37
1181,58
825,66
734,14
672,88
610,33
498,62
427,28
420,30
415,71
434,85
311,56
245,94
188,86
165,52
166,56
116,71
117,06
150,37
148,95
161,81
135,78
130,80
158,95
123,67
104,99
116,10
145,10
186,84
170,51
164,60
188,66
162,94
125,87
78,60
67,90
80,80
91,76
88,90
132,08
116,62
135,51
162,01
101,72
68,07
63,97
60,25
54,25
58,90
69,75
71,70
71,15
95,30
99,60
99,86
116,59
135,59
155,08
174,68
194,55
243,42
294,20
291,36
322,81
526,92
738,40
846,92
982,41
1004,28
886,14
802,79
703,19
678,49
634,41
662,20
650,26
599,53
615,26
778,43
962,02
880,37
626,21
413,13
276,75
152,29
74,52
56,52
111,14
199,62
233,43
435,86
667,19
953,91
989,20
1051,21
1090,49
1063,13
1138,63
1109,38
1150,89
1257,38
1359,73
1306,08
1260,17
1242,79
1121,39
1035,88
1008,00
982,89
943,40
951,50
1063,35
1416,29
1730,53
1808,47
1852,93
1985,38
2042,74
2192,14
2339,65
2362,19
2362,72
2372,23
2364,99
2365,66
2356,35
2363,08
2385,71
2393,33
2396,25
2393,72
2396,14
2390,52
2388,85
2380,99
2374,60
2346,72
2332,75
2313,57
2254,14
2233,73
2262,73
2193,47
2022,99
1973,46
2120,80
2119,10
2160,64
2185,72
2267,42
2276,33
2270,85
2298,21
2296,32
2318,61
2354,64
2304,61
2330,02
2206,19
2106,76
2187,30
2204,75
2261,49
2349,36
2334,33
2338,64
2264,07
2014,67
1871,41
1734,22
1659,83
1531,42
1443,10
1405,93
1347,94
1362,10
1264,00
1066,85
797,19
622,69
473,67
343,77
227,56
134,22
113,02
63,01
62,68
26,64
18,32
26,80
27,55
61,86
77,23
104,14
128,30
217,31
379,84
600,21
911,29
864,97
1168,72
