4090,434014
4230,254907
4374,481884
4330,089867
4336,899280
4318,083713
4331,494366
4323,641789
4446,379147
4443,854458
4508,658593
4495,901957
4544,443893
4544,334303
4466,172945
4520,507759
4699,395892
4568,662871
4366,858674
4217,364905
4445,356344
4350,416849
4142,678398
4304,974434
4180,342147
4248,624432
4345,085324
4287,003136
4408,245837
4668,692520
4937,229014
5151,383504
5298,826667
5353,972605
5353,134160
5332,233050
5394,118633
5502,435482
5447,811541
5630,589300
5877,759896
5694,688296
5920,432648
5326,817779
5680,904699
5291,947972
5190,504731
5398,010746
5580,921154
5468,976815
5341,795088
5456,487492
5581,117319
5692,760771
5941,024753
5993,216703
6044,440656
6301,059174
6251,088449
6263,348266
6220,658834
6084,580398
5798,921763
5980,577195
6180,910400
5901,585870
5540,345532
5254,365728
5098,828678
5083,293602
4985,215862
5074,194445
5208,006616
5341,208042
5335,261364
5264,012263
5212,120399
5189,415522
5560,204313
5763,507702
5858,986432
5925,671522
5932,712853
5951,285943
5920,963738
5752,702092
5628,288726
5826,740671
6122,086988
5946,842613
5599,015096
5359,100843
5132,527831
4882,106073
4676,186792
4686,506722
4742,922642
4923,380802
4902,253215
4863,607309
4993,538144
5275,284741
5759,535450
6009,214050
6106,367855
6241,241574
6171,017412
5960,108676
5847,193179
5721,551777
5639,242224
5801,236808
6244,080476
6103,828417
5830,541861
5514,913112
5338,137487
5120,117399
4946,996108
4739,230428
4764,714547
4836,228978
4701,090511
4674,460235
4545,792831
4626,514036
4750,841119
5028,480018
5253,897000
5393,963500
5365,355619
5332,448304
5259,661641
5260,881424
5269,910246
5456,447341
5781,970885
5709,211866
5382,330873
5165,561442
5057,320196
4856,534167
4829,369400
4824,743833
4855,634829
4828,788568
4829,455115
4786,498304
4756,731059
4776,159261
5001,348934
5237,922719
5446,671006
5500,870591
5453,117500
5517,253791
5507,295946
5473,692183
5462,620782
5587,164505
5925,140186
5912,057019
5647,580388
5405,574983
5221,412849
4955,921594
4809,412424
4978,489791
4943,057044
4963,635451
4929,284452
4896,875345
5060,126706
5538,400271
5996,109811
6231,116252
6211,646101
6207,178018
6151,087651
6186,475189
6274,294372
6125,087291
5828,217503
6023,012668
6328,585558
6153,639259
5825,269761
5546,834164
5466,615434
5227,400534
4996,706310
5159,617558
5186,368070
5164,403533
5066,815867
4984,086525
5035,108194
5392,358443
5893,633133
6085,563138
6150,701205
6199,092125
6144,610247
5992,374950
5950,247751
5838,231878
5715,308902
5859,523264
6150,975773
5925,677825
5623,188783
5276,215824
5043,852063
4821,507204
4634,593682
4583,939927
4631,081121
4564,008509
4464,907263
4387,560578
4506,656124
4960,406564
5560,703633
5780,888763
5774,442025
5831,543543
5808,702451
5734,227157
5705,053209
5651,682343
5571,196282
5753,463105
6025,841717
5786,443132
5447,305134
5173,536382
4978,837832
4759,101346
4563,667989
4539,638241
4584,676296
4566,362208
4428,667528
4370,636355
4444,073522
4888,703361
5446,700552
5671,771534
5661,731815
5722,623822
5656,621715
5537,468962
5527,212703
5414,955106
5324,646111
5527,316397
5860,177251
5662,195164
5341,686287
5113,376718
4951,203216
4742,887179
4568,268018
4590,351108
4665,183752
4633,921269
4655,099604
4645,079842
4686,162692
5092,642426
5588,240777
5801,593213
5765,266840
5776,368437
5704,901163
5577,455035
5482,686276
5317,095607
5222,756061
5414,480199
5882,650472
5735,119120
5143,834215
4822,927998
4704,924950
4467,309913
4391,656905
4493,189462
4343,310083
4307,038110
4238,711214
4183,203896
4234,655078
4157,196480
4442,700325
4716,034614
5026,566130
5052,578249
5035,106994
5230,606067
5050,934536
4934,711799
4898,801282
5098,805388
5356,578602
5254,631133
4887,157594
4821,444046
4696,385323
4630,926156
4550,503194
4444,936528
4425,251306
4293,592133
4188,426741
4116,013740
4077,145950
4143,435260
4290,679726
4531,834958
4702,007315
4770,280714
4815,088231
4759,302491
4720,430999
4719,735412
4623,621729
4959,137801
5331,559549
5168,282115
4903,772490
4719,282218
4519,578774
4325,672108
4257,635718
4440,598620
4699,710141
4859,735672
4798,202864
4705,658020
4706,119219
5081,619541
5614,898485
